Taxa,Taxonomy,Taxon
f65ba505ab0ba65283010e3f3117b806,Ascomycota,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_sp
09c34412ace6a79606c717e0b140b632,Ascomycota,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_restrictum;sh__SH0767698.10FU
42551b4639aff66a99540d847c077369,Ascomycota,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;g__Purpureocillium;s__Purpureocillium_lavendulum;sh__SH0906186.10FU
a389555800f4dd7efef27d9cf97e4d7a,Ascomycota,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Elaphomycetaceae;g__Elaphomyces;s__Elaphomyces_granulatus;sh__SH0981043.10FU
ddb797d82f08f2908aee267238cb889d,Ascomycota,k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp;sh__SH1000786.10FU
5ec8f9876db2234688d30200b4be5f0b,Ascomycota,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae
9b0129372b39c17a3704b38beed6c847,Ascomycota,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Onygenaceae;g__Auxarthron;s__Auxarthron_sp;sh__SH0875532.10FU
beb5a0138542b3d27aea06d20ede10a8,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__Cortinarius_sp;sh__SH1018268.10FU
f190f6e3c6358a155ae4fafef6f44fa5,Ascomycota,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Staphylotrichum;s__Staphylotrichum_boninense;sh__SH0978723.10FU
784b75c43cd9b31154079940889e33de,Ascomycota,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus
0c95a45775775c9a13be5c3ac779affa,Ascomycota,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Wardomycopsis;s__Wardomycopsis_humicola;sh__SH0977428.10FU
f2a4c4c98ca95481117d24217a551de7,Ascomycota,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__Trichoderma_sp
8d59445b1ee82b326acbf55bf06bd8a7,Ascomycota,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Hypocreales_gen_Incertae_sedis;s__Hypocreales_sp;sh__SH1000770.10FU
1c97567df4bd8291d12fc5544fd4d976,Ascomycota,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Hypocreales_gen_Incertae_sedis;s__Hypocreales_sp;sh__SH1000766.10FU
a8613f62fb393f4fc5b28bf835820c52,Ascomycota,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma
81d3dcfc54248f44259ac5cbfe83a00a,Basidiomycota,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__Saitozyma;s__Saitozyma_podzolica;sh__SH1020079.10FU
