Log_ID,Location,Sex,Taxa,Count,Collection_Date,Analyzer,Analysis_Date
H1-F2,Huntsville,F,Entomobryidae,7,6/16/2023,B,6/20/2023
H1-F2,Huntsville,F,Mesostigmata,5,6/16/2023,B,6/20/2023
H1-F2,Huntsville,F,Oribatida,44,6/16/2023,B,6/20/2023
H1-F2,Huntsville,F,Prostigmata,20,6/16/2023,B,6/20/2023
H1-F2,Huntsville,F,Lycosidae,1,6/16/2023,B,6/20/2023
H1-F2,Huntsville,F,Gnaphosidae,1,6/16/2023,B,6/20/2023
H1-F2,Huntsville,F,Formicidae,7,6/16/2023,B,6/20/2023
H1-F2,Huntsville,F,Thysanoptera,5,6/16/2023,B,6/20/2023
H1-F2,Huntsville,F,Hemiptera,4,6/16/2023,B,6/20/2023
H1-F2,Huntsville,F,Isopoda,4,6/16/2023,B,6/20/2023
H1-F2,Huntsville,F,Arthropod_other,1,6/16/2023,B,6/20/2023
H1-F3,Huntsville,F,Entomobryidae,9,6/16/2023,B,6/20/2023
H1-F3,Huntsville,F,Isotomidae,4,6/16/2023,B,6/20/2023
H1-F3,Huntsville,F,Mesostigmata,2,6/16/2023,B,6/20/2023
H1-F3,Huntsville,F,Oribatida,82,6/16/2023,B,6/20/2023
H1-F3,Huntsville,F,Prostigmata,37,6/16/2023,B,6/20/2023
H1-F3,Huntsville,F,Gnaphosidae,2,6/16/2023,B,6/20/2023
H1-F3,Huntsville,F,Coleoptera_larval,3,6/16/2023,B,6/26/2023
H1-F3,Huntsville,F,Formicidae,6,6/16/2023,B,6/26/2023
H1-F3,Huntsville,F,Hymenoptera_other,1,6/16/2023,B,6/26/2023
H1-F3,Huntsville,F,Lepidoptera_larval,1,6/16/2023,B,6/26/2023
H1-F3,Huntsville,F,Hemiptera,5,6/16/2023,B,6/26/2023
H1-F3,Huntsville,F,Chilopoda,1,6/16/2023,B,6/26/2023
H1-F3,Huntsville,F,Isopoda,2,6/16/2023,B,6/26/2023
