Log_ID,Location,Sex,Crown_1,Crown_2,Avg_Crown,Stick_Height,J_Height,J_Observer,J_Height.2,J_Observer.2,Moisture_VWC,Circ_1,Circ_2,Circ_3,Circ_4,Circ_5,Circ_6,Circ_7,Circ_8,Circ_9,Avg_circ,Sampling_Date,Observers
H1-F1,Huntsville,F,,,,,,,,,,,,,,,,,,,,7/18/2023,"A,B"
H1-F2,Huntsville,F,2.8,2.2,2.5,,6.047,F,6.132,A,8.6,16,,,,,,,,,16,7/18/2023,"A,B"
H1-F3,Huntsville,F,3.2,2.7,2.95,,4.225,F,,,16.1,19,,,,,,,,,19,7/18/2023,"A,B"
H1-F4,Huntsville,F,4.3,4.3,4.3,,5.888,F,,,16.7,5,27,9,,,,,,,13.67,7/18/2023,"A,B"
H1-F5,Huntsville,F,3.3,4.7,4,,1.763,F,,,12.7,7,13,16,13.5,,,,,,12.38,7/18/2023,"A,B"
H1-F6,Huntsville,F,,,,,,,,,,,,,,,,,,,,7/18/2023,"A,B"
H1-F7,Huntsville,F,,,,,,,,,,,,,,,,,,,,7/18/2023,"A,B"
H1-F8,Huntsville,F,6,5.6,5.8,,3.261,A,2.576,F,12.7,29,30,22,18,,,,,,24.75,7/18/2023,"A,B"
H1-M1,Huntsville,M,,,,,,,,,,,,,,,,,,,,7/18/2023,"A,B"
H1-M10,Huntsville,M,3.2,3.4,3.3,,5.313,F,4.81,A,16.3,12,12,,,,,,,,12,7/18/2023,"A,B"
H1-M11,Huntsville,M,3.4,2.3,2.85,,4.907,F,,,13.2,16,,,,,,,,,16,7/18/2023,"A,B"
H1-M12,Huntsville,M,2.6,2.1,2.35,,7.247,F,,,24.5,12,,,,,,,,,12,7/18/2023,"A,B"
H1-M2,Huntsville,M,,,,,,,,,,,,,,,,,,,,7/18/2023,"A,B"
H1-M3,Huntsville,M,2.2,2.2,2.2,,3.691,F,3.48,A,10.1,13,10,,,,,,,,11.5,7/18/2023,"A,B"
