Log_ID,Location,Sex,microbial_biomass ,MBC ,MBN ,DOC,TDN 
H1-F2,H,F,12.926,534.575,41.355,275.634,39.643
H1-F3,H,F,12.606,572.735,45.435,252.463,36.38
H1-F5,H,F,11.748,309.789,26.37,187.976,18.171
H1-F8,H,F,17.568,376.564,21.435,158.974,22.391
H2-F1,H,F,3.739,45.457,12.156,24.903,0
H2-F2,H,F,13.415,39.043,2.91,36.594,24.614
H2-F3,H,F,9.865,53.268,5.399,25.936,9.522
H3-F1,H,F,16.593,227.578,13.716,124.279,31.893
H3-F10,H,F,37.878,230.801,6.093,171.472,18.281
H3-F2,H,F,11.215,216.794,19.331,76.617,12.187
H3-F3,H,F,15.927,317.611,19.942,233.112,26.687
H3-F4,H,F,38.745,187.041,4.827,147.426,37.633
H3-F5,H,F,13.889,168.471,12.129,137.666,33.177
H3-F6,H,F,7.088,150.091,21.175,62.119,18.562
H3-F8,H,F,13.806,191.191,13.849,262.522,31.159
H3-F9,H,F,13.346,372.643,27.922,169.078,22.577
H1-M10,H,M,12.538,257.462,20.534,141.854,21.618
H1-M11,H,M,14.027,242.454,17.285,91.094,18.706
H1-M12,H,M,12.301,256.307,20.837,83.458,17.711
H1-M3,H,M,10.403,165.858,15.943,84.294,18.133
H1-M4,H,M,8.536,162.52,19.04,93.808,11.866
H1-M5,H,M,13.827,273.293,19.765,91.469,16.292
H1-M6,H,M,14.005,271.852,19.411,90.966,15.961
H1-M7,H,M,12.634,540.512,42.782,234.681,28.565
H1-M9,H,M,11.35,570.342,50.249,251.702,63.452
H2-M7,H,M,10.609,216.519,20.409,67.243,10.33
H2-M8,H,M,8.7,168.432,19.36,112.371,16.856
TC1-F1,TC,F,2.697,29.691,11.01,114.569,10.915
TC2-F1,TC,F,60.063,160.239,2.668,101.301,26.01
TC2-F3,TC,F,20.291,205.018,10.104,38.125,8.978
TC2-F4,TC,F,11.884,178.1,14.987,66.571,15.444
TC2-F5,TC,F,13.967,247.992,17.756,28.968,14.615
TC2-F7,TC,F,266.913,250.694,0.939,177.083,27.362
TC1-M1,TC,M,11.31,98.219,8.684,76.146,15.851
TC1-M3,TC,M,-38.659,61.565,-1.592,79.591,13.233
TC1-M4,TC,M,7.537,102.7,13.625,41.56,20.787
TC1-M5,TC,M,5.705,125.525,22.003,38.407,10.385
TC1-M6,TC,M,10.753,56.238,5.23,125.997,21.838
TC1-M8,TC,M,11.666,277.14,23.755,50.752,18.519
TC1-M9,TC,M,12.265,252.926,20.622,33.137,13.005
TC2-M10,TC,M,17.371,297.296,17.115,17.779,11.413
TC2-M9,TC,M,163.971,343.165,2.093,73.734,14.59
Wi1-F1,Wi,F,11.72,553.543,47.23,126.771,11.411
Wi1-F10,Wi,F,14.307,572.141,39.99,874.268,29.405
Wi1-F11,Wi,F,14.247,838.784,58.875,375.012,14.202
Wi1-F2,Wi,F,12.674,554.62,43.76,148.926,0
Wi1-F3,Wi,F,11.856,800.096,67.482,407.679,0
Wi1-F4,Wi,F,13.383,753.151,56.278,297.691,18.997
Wi1-F5,Wi,F,11.5,605.742,52.675,239.653,0
Wi1-F6,Wi,F,13.463,645.779,47.968,863.383,34.266
Wi1-F7,Wi,F,15.671,1434.764,91.555,932.096,38.57
Wi1-F8,Wi,F,8.638,515.495,59.676,1059.09,51.555
Wi1-F9,Wi,F,23.82,643.023,26.996,447.215,28.946
Wi2-F1,Wi,F,12.737,644.663,50.612,192.253,21.549
Wi2-F2,Wi,F,14.066,752.855,53.523,88.574,21.759
Wi2-F3,Wi,F,19.198,743.015,38.703,280.754,32.639
Wi2-F4,Wi,F,18.347,909.839,49.59,572.076,53.302
Wi2-F5,Wi,F,19.746,1133.304,57.394,504.46,38.813
Wi2-F6,Wi,F,20.479,807.822,39.446,387.365,32.323
Wi2-F7,Wi,F,16.053,1939.965,120.85,1414.967,92.371
Wi2-F8,Wi,F,13.773,1093.89,79.424,760.714,35.422
Wi2-F9,Wi,F,15.563,1125.17,72.298,977.292,57.26
Wi1-M1,Wi,M,14.855,983.815,66.229,545.875,49.357
Wi1-M2,Wi,M,14.209,1138.774,80.144,557.266,47.575
Wi1-M3,Wi,M,14.976,773.717,51.665,398.284,40.736
Wi1-M4,Wi,M,15.848,773.03,48.777,617.117,35.168
Wi1-M5,Wi,M,9.44,643.551,68.173,652.416,37.796
Wi1-M6,Wi,M,22.656,537.244,23.713,210.499,23.177
Wi1-M7,Wi,M,21.165,433.323,20.473,292.336,19.392
Wi1-M8,Wi,M,15.178,446.201,29.397,405.81,28.24
Wi2-M1,Wi,M,13.416,691.157,51.517,363.404,40.91
Wi2-M10,Wi,M,9.42,542.675,57.606,250.306,16.732
Wi2-M11,Wi,M,31.548,718.472,22.774,330.84,26.781
Wi2-M12,Wi,M,18.973,699.197,36.851,140.148,9.151
Wi2-M2,Wi,M,19.682,576.546,29.292,127.354,13.949
Wi2-M3,Wi,M,16.426,676.909,41.209,128.376,12.652
Wi2-M4,Wi,M,14.931,691.963,46.344,444.134,43.475
Wi2-M5,Wi,M,10.35,605.387,58.49,130.717,13.713
Wi2-M6,Wi,M,14.351,569.556,39.689,251.285,29.922
Wi2-M7,Wi,M,22.078,462.997,20.971,137.361,18.996
Wi2-M8,Wi,M,16.34,589.848,36.097,377.405,36.861
Wi2-M9,Wi,M,13.652,787.313,57.669,352.541,29.839
