Log_ID,Location,Sex,POMC ,MinC ,Total_C ,POMN ,MinN ,TotalN
TC1-F1,TC,F,8.2595474,3.449985146,11.70953255,0.128038531,0.223208978,0.351247509
TC1-M1,TC,M,11.67787179,4.754456423,16.43232821,0.178238122,0.315263795,0.493501917
TC1-M2,TC,M,5.530911381,3.252763864,8.783675245,0.16979585,0.225861576,0.395657426
TC1-M3,TC,M,1.617193793,1.164069528,2.781263321,0.065745613,0.083187704,0.148933318
TC1-M5,TC,M,4.171238449,2.924384307,7.095622757,0.185429662,0.190933515,0.376363177
TC2-F1,TC,F,4.221289119,7.437743094,11.65903221,0.182009489,0.416007744,0.598017233
TC2-F4,TC,F,5.107821466,1.657558896,6.765380362,0.199509826,0.09180991,0.291319736
TC2-F5,TC,F,2.674582384,12.29688284,14.97146523,0.106550562,0.666103725,0.772654287
TC2-F7,TC,F,9.572475427,6.157575358,15.73005079,0.26858371,0.338796783,0.607380493
TC2-M10,TC,M,6.549463511,6.233374052,12.78283756,0.221614858,0.36797252,0.589587378
Wi1-F11,Wi,F,20.34833448,34.55348546,54.90181994,1.262183603,2.638332807,3.90051641
Wi1-F3,Wi,F,21.60398434,30.84948363,52.45346797,1.34786073,2.188088526,3.535949256
Wi1-F4,Wi,F,23.53588308,36.98620044,60.52208352,1.402397966,2.56193847,3.964336436
Wi1-F6,Wi,F,28.28482835,40.89601198,69.18084032,1.714872001,2.774709278,4.489581279
Wi1-F7,Wi,F,44.92879299,52.89708571,97.8258787,2.375820833,3.200056344,5.575877176
Wi1-F8,Wi,F,30.18927939,62.9640682,93.15334758,1.776798658,3.858081978,5.634880636
Wi1-F9,Wi,F,26.06109248,39.95627152,66.017364,1.602878893,2.708918464,4.311797357
Wi1-M1,Wi,M,22.4357107,39.54306324,61.97877394,1.316313545,2.988505286,4.304818831
Wi1-M3,Wi,M,28.0299698,38.48974596,66.51971575,1.85349993,2.852925343,4.706425273
Wi1-M4,Wi,M,30.77440816,41.91485306,72.68926122,1.930320408,2.94161102,4.871931429
Wi1-M5,Wi,M,26.02383792,44.24371741,70.26755532,1.52276817,2.705337394,4.228105563
Wi1-M6,Wi,M,19.08203329,32.48079445,51.56282774,1.16126876,2.359049648,3.520318407
Wi1-M7,Wi,M,17.5545398,32.44491176,49.99945156,1.047817243,2.269002026,3.316819269
Wi1-M8,Wi,M,28.93668887,39.10921456,68.04590343,1.650352068,2.744730064,4.395082133
Wi2-F3,Wi,F,25.27486786,32.76599064,58.0408585,1.226577331,2.637077944,3.863655275
Wi2-F4,Wi,F,30.03951512,36.77682023,66.81633536,1.788038557,2.6697332,4.457771757
Wi2-F5,Wi,F,34.50960275,38.71692388,73.22652664,1.98555173,2.461282333,4.446834063
Wi2-F6,Wi,F,34.39728277,34.47879653,68.87607931,1.942372866,2.541082498,4.483455364
Wi2-F8,Wi,F,49.47385009,25.77202921,75.2458793,2.355927053,2.078636201,4.434563255
Wi2-F9,Wi,F,31.52019832,41.60144398,73.1216423,2.035649301,2.869809974,4.905459275
