Log_ID,Location,Sex,pH,AMB,Labile_carbon , NH4 , NO3 ,NetNmine,Netnitrification 
TC1-F1,CTC,F,6.55,1.263270629,122.9485415,0.005945085,0.004299669,-0.0072,-0.0019
TC2-F1,CTC,F,5.195,1.480771991,192.4098442,0.014283347,0,0.0101,0.0033
TC2-F3,CTC,F,5.755,1.18665693,132.3942071,0.005201826,0,0.0091,0.0025
TC2-F4,CTC,F,4.955,1.653592003,126.6603591,0.011047418,0,0.0026,0
TC2-F5,CTC,F,5.625,1.417751349,150.2708347,0.012936948,0,0.0144,0.0085
TC2-F7,CTC,F,5.11,1.370193384,195.8926812,0.010994639,0,0.0189,0.0092
TC2-M10,CTC,M,5.405,1.594856737,149.2967357,0.010259822,0,0.0049,0.0001
TC2-M9,CTC,M,5.53,1.17637312,148.4440195,0.007772795,0,0.0047,0
TC1-M1,CTC,M,7.175,1.246320088,154.1605334,0.006254726,0.006613653,-0.0079,-0.0022
TC1-M2,CTC,M,7.26,1.144260253,128.359533,0.00490909,0.008315499,-0.0077,-0.0031
TC1-M3,CTC,M,6.535,1.389802026,99.04725729,0.006409571,0,0.0045,0.0012
TC1-M4,CTC,M,6,1.423102831,177.7420361,0.019662588,0.000461026,-0.0124,0.0049
TC1-M5,CTC,M,6.345,1.511648265,173.3372623,0.009825559,0.000585235,0.0059,0.0043
TC1-M6,CTC,M,6.345,1.464058777,159.9903707,0.01666046,0.001365005,-0.0159,0.0002
TC1-M8,CTC,M,6.19,1.74052094,191.0493757,0.024408365,0.000389514,-0.0111,-0.0004
TC1-M9,CTC,M,6.085,1.107146397,128.5426317,0.014236272,3.05E-05,0.0036,0
Wi1-F1,AWi,F,6.86,2.708330206,257.7834436,0.018043484,0.01006856,0.0053,0.0218
Wi1-F10,AWi,F,7.27,2.851764293,118.3830673,0.004050256,0.033486482,-0.0149,-0.0126
Wi1-F11,AWi,F,6.85,3.075595729,146.903457,0.009625425,0.016605507,0.001,0.0088
Wi1-F2,AWi,F,7.17,2.309312714,150.7637302,0.001089867,0.010651698,0.0095,0.0093
Wi1-F3,AWi,F,7.66,2.57634769,189.4096405,0.008867973,0.018823953,-0.0036,0.0022
Wi1-F4,AWi,F,7.42,2.733303619,147.696076,0.001431412,0.023108505,0.0046,0.0043
Wi1-F5,AWi,F,7.12,2.244099124,155.6724913,0.004721809,0.028443408,-0.0058,-0.0027
Wi1-F6,AWi,F,7.41,3.058432667,185.3716106,0.005934861,0.029297942,-0.0124,-0.0084
Wi1-F7,AWi,F,7.69,3.412518183,182.0943195,0.013614728,0.029262715,-0.0142,-0.0033
Wi1-F8,AWi,F,7.84,2.596040186,173.9837259,0.010269534,0.038017879,-0.0228,-0.0146
Wi1-F9,AWi,F,7.43,3.035991738,168.3133072,0.003790623,0.025508191,-0.0028,-0.0007
Wi2-F1,AWi,F,6.66,2.478733588,140.1767163,0.00702827,0.00676491,0.01,0.0157
Wi2-F2,AWi,F,6.58,2.825278825,147.0459803,0.009637168,0.00785423,-0.0015,0.0069
Wi2-F3,AWi,F,7.06,3.262230103,280.3082093,0.010348053,0.008896177,0.0059,0.0145
Wi2-F4,AWi,F,7.05,4.187496565,410.2000403,0.012740816,0.010823795,0.0097,0.02
Wi2-F5,AWi,F,7.4,3.654570553,217.8261741,0.008010838,0.022956267,-0.0078,-0.0022
Wi2-F6,AWi,F,7.01,3.158820177,194.0430101,0.010688792,0.012898113,-0.0023,0.0061
Wi2-F7,AWi,F,7.45,21.22770212,304.6031766,0.017372363,0.014336887,0.0051,0.0138
